Ligand,Receptor,Pathway Name,TP,TN,FP,FN,Precision,Recall,F1 Score,Distance,Receptor %
Slit1,Robo1,Pathway 1,0,1121,426,13,0.0,0.0,0,25,0.5892246642246641
Slit1,Robo1,Pathway 1,0,1121,426,13,0.0,0.0,0,50,0.5665667665667665
Slit1,Robo1,Pathway 1,0,1121,426,13,0.0,0.0,0,75,0.5384615384615384
Slit1,Robo1,Pathway 1,0,1121,426,13,0.0,0.0,0,100,0.5384615384615384
Slit1,Robo2,Pathway 1,13,1387,160,0,0.07514450867052024,1.0,0.13978494623655915,25,0.08513431013431014
Slit1,Robo2,Pathway 1,13,1387,160,0,0.07514450867052024,1.0,0.13978494623655915,50,0.07552447552447553
Slit1,Robo2,Pathway 1,13,1387,160,0,0.07514450867052024,1.0,0.13978494623655915,75,0.07692307692307693
Slit1,Robo2,Pathway 1,13,1387,160,0,0.07514450867052024,1.0,0.13978494623655915,100,0.07692307692307693
Slit1,Robo3,Pathway 1,13,1535,12,0,0.52,1.0,0.6842105263157895,25,0.0
Slit1,Robo3,Pathway 1,13,1535,12,0,0.52,1.0,0.6842105263157895,50,0.0
Slit1,Robo3,Pathway 1,13,1535,12,0,0.52,1.0,0.6842105263157895,75,0.0
Slit1,Robo3,Pathway 1,13,1535,12,0,0.52,1.0,0.6842105263157895,100,0.0
Slit1,Robo4,Pathway 1,13,1508,39,0,0.25,1.0,0.4,25,0.0
Slit1,Robo4,Pathway 1,13,1508,39,0,0.25,1.0,0.4,50,0.0
Slit1,Robo4,Pathway 1,13,1508,39,0,0.25,1.0,0.4,75,0.0
Slit1,Robo4,Pathway 1,13,1508,39,0,0.25,1.0,0.4,100,0.0
Slit2,Robo1,Pathway 1,354,831,318,57,0.5267857142857143,0.8613138686131386,0.6537396121883656,25,0.2864950376194697
Slit2,Robo1,Pathway 1,409,831,318,2,0.562585969738652,0.9951338199513382,0.7188049209138839,50,0.27997888410110694
Slit2,Robo1,Pathway 1,411,831,318,0,0.5637860082304527,1.0,0.7210526315789474,75,0.2798053527980546
Slit2,Robo1,Pathway 1,411,831,318,0,0.5637860082304527,1.0,0.7210526315789474,100,0.2798053527980546
Slit2,Robo2,Pathway 1,411,1034,115,0,0.7813688212927756,1.0,0.8772678762006403,25,0.10748629024459042
Slit2,Robo2,Pathway 1,411,1034,115,0,0.7813688212927756,1.0,0.8772678762006403,50,0.10951449704091935
