Ligand,Receptor,Pathway Name,TP,TN,FP,FN,Precision,Recall,F1 Score,Distance,Receptor %
Robo1,Slit1,Pathway 1,433,1121,6,0,0.9863325740318907,1.0,0.9931192660550459,25,0.017158955915881922
Robo1,Slit1,Pathway 1,433,1121,6,0,0.9863325740318907,1.0,0.9931192660550459,50,0.016197226122414164
Robo1,Slit1,Pathway 1,433,1121,6,0,0.9863325740318907,1.0,0.9931192660550459,75,0.016166281755196132
Robo1,Slit1,Pathway 1,433,1121,6,0,0.9863325740318907,1.0,0.9931192660550459,100,0.016166281755196132
Robo1,Slit2,Pathway 1,268,831,296,165,0.475177304964539,0.6189376443418014,0.5376128385155468,25,0.2714923115893727
Robo1,Slit2,Pathway 1,431,831,296,2,0.5928473177441541,0.9953810623556582,0.7431034482758622,50,0.26340460378530334
Robo1,Slit2,Pathway 1,433,831,296,0,0.5939643347050755,1.0,0.7452667814113598,75,0.26558891454965494
Robo1,Slit2,Pathway 1,433,831,296,0,0.5939643347050755,1.0,0.7452667814113598,100,0.26558891454965494
Robo1,Slit3,Pathway 1,433,927,200,0,0.684044233807267,1.0,0.8123827392120075,25,0.17633016241857086
Robo1,Slit3,Pathway 1,433,927,200,0,0.684044233807267,1.0,0.8123827392120075,50,0.1882909085718816
Robo1,Slit3,Pathway 1,433,927,200,0,0.684044233807267,1.0,0.8123827392120075,75,0.1939953810623548
Robo1,Slit3,Pathway 1,433,927,200,0,0.684044233807267,1.0,0.8123827392120075,100,0.1939953810623548
Robo2,Slit1,Pathway 1,161,1387,12,0,0.930635838150289,1.0,0.9640718562874252,25,0.006750436139669734
Robo2,Slit1,Pathway 1,161,1387,12,0,0.930635838150289,1.0,0.9640718562874252,50,0.006228688532310935
Robo2,Slit1,Pathway 1,161,1387,12,0,0.930635838150289,1.0,0.9640718562874252,75,0.0062111801242235865
Robo2,Slit1,Pathway 1,161,1387,12,0,0.930635838150289,1.0,0.9640718562874252,100,0.0062111801242235865
Robo2,Slit2,Pathway 1,101,1034,365,60,0.2167381974248927,0.6273291925465838,0.3221690590111642,25,0.2895710065366493
Robo2,Slit2,Pathway 1,153,1034,365,8,0.2953667953667954,0.9503105590062112,0.45066273932253315,50,0.27922994058185324
Robo2,Slit2,Pathway 1,161,1034,365,0,0.3060836501901141,1.0,0.46870451237263466,75,0.2857142857142863
Robo2,Slit2,Pathway 1,161,1034,365,0,0.3060836501901141,1.0,0.46870451237263466,100,0.2857142857142863
Robo2,Slit3,Pathway 1,161,1144,255,0,0.3870192307692308,1.0,0.5580589254766031,25,0.16717344497445075
Robo2,Slit3,Pathway 1,161,1144,255,0,0.3870192307692308,1.0,0.5580589254766031,50,0.17388388301996938
Robo2,Slit3,Pathway 1,161,1144,255,0,0.3870192307692308,1.0,0.5580589254766031,75,0.1801242236024842
