Ligand,Receptor,Pathway Name,TP,TN,FP,FN,Precision,Recall,F1 Score,Distance,Receptor %
Slit1,Robo1,Pathway 1,28,24720,24575,2042,0.001138072592773239,0.01352657004830918,0.002099501368424999,25,0.5389172939923303
Slit1,Robo1,Pathway 1,0,24720,24575,2070,0.0,0.0,0,50,0.528323782339735
Slit1,Robo1,Pathway 1,0,24720,24575,2070,0.0,0.0,0,75,0.522233742595698
Slit1,Robo1,Pathway 1,0,24720,24575,2070,0.0,0.0,0,100,0.5264017755572784
Slit1,Robo2,Pathway 1,899,34252,15043,1171,0.056391920712583116,0.43429951690821256,0.09982234066178103,25,0.3353207686566558
Slit1,Robo2,Pathway 1,808,34252,15043,1262,0.050974701911551325,0.3903381642512077,0.09017353942302327,50,0.32275078655704686
Slit1,Robo2,Pathway 1,788,34252,15043,1282,0.049775756427262965,0.38067632850241545,0.08803977431428411,75,0.3162333898847085
Slit1,Robo2,Pathway 1,635,34252,15043,1435,0.0405026151294808,0.30676328502415456,0.07155735857561416,100,0.3210390718600091
Slit1,Robo3,Pathway 1,2070,48091,1204,0,0.6322541233964569,1.0,0.7747005988023952,25,0.06361602508465498
Slit1,Robo3,Pathway 1,2070,48091,1204,0,0.6322541233964569,1.0,0.7747005988023952,50,0.057622244084610086
Slit1,Robo3,Pathway 1,2070,48091,1204,0,0.6322541233964569,1.0,0.7747005988023952,75,0.05645652998520277
Slit1,Robo3,Pathway 1,2070,48091,1204,0,0.6322541233964569,1.0,0.7747005988023952,100,0.058274020656763216
Slit1,Robo4,Pathway 1,2070,47541,1754,0,0.5413179916317992,1.0,0.7024092297251442,25,0.032372192011388246
Slit1,Robo4,Pathway 1,2070,47541,1754,0,0.5413179916317992,1.0,0.7024092297251442,50,0.03268341668481321
Slit1,Robo4,Pathway 1,2070,47541,1754,0,0.5413179916317992,1.0,0.7024092297251442,75,0.03179573706249486
Slit1,Robo4,Pathway 1,2070,47541,1754,0,0.5413179916317992,1.0,0.7024092297251442,100,0.03170119837008945
Slit2,Robo1,Pathway 1,201,19307,18374,13483,0.01082099596231494,0.014688687518269511,0.012461638612480237,25,0.533803188291044
Slit2,Robo1,Pathway 1,0,19307,18374,13684,0.0,0.0,0,50,0.5335165170165206
Slit2,Robo1,Pathway 1,0,19307,18374,13684,0.0,0.0,0,75,0.5264115934650121
Slit2,Robo1,Pathway 1,0,19307,18374,13684,0.0,0.0,0,100,0.5267841854029546
Slit2,Robo2,Pathway 1,6872,26268,11413,6812,0.37582718074924804,0.5021923414206373,0.42991648159154183,25,0.31159550684707066
Slit2,Robo2,Pathway 1,7171,26268,11413,6513,0.3858695652173913,0.5240426775796551,0.4444651047477377,50,0.3142708924306818
Slit2,Robo2,Pathway 1,7777,26268,11413,5907,0.4052631578947368,0.5683279742765274,0.47313986737239155,75,0.307433173778438
Slit2,Robo2,Pathway 1,6259,26268,11413,7425,0.3541760977818017,0.45739549839228294,0.399221839520347,100,0.3073095797401845
Slit2,Robo3,Pathway 1,13684,36695,986,0,0.9327880027266531,1.0,0.965225365027862,25,0.0256371223407047
Slit2,Robo3,Pathway 1,13684,36695,986,0,0.9327880027266531,1.0,0.965225365027862,50,0.023497093349338593
Slit2,Robo3,Pathway 1,13684,36695,986,0,0.9327880027266531,1.0,0.965225365027862,75,0.02275536556792406
Slit2,Robo3,Pathway 1,13684,36695,986,0,0.9327880027266531,1.0,0.965225365027862,100,0.023141742601199486
Slit2,Robo4,Pathway 1,13684,36319,1362,0,0.9094776020204706,1.0,0.9525931082492168,25,0.03339214440840427
Slit2,Robo4,Pathway 1,13684,36319,1362,0,0.9094776020204706,1.0,0.9525931082492168,50,0.03336685187205471
Slit2,Robo4,Pathway 1,13684,36319,1362,0,0.9094776020204706,1.0,0.9525931082492168,75,0.03330494762825496
Slit2,Robo4,Pathway 1,13684,36319,1362,0,0.9094776020204706,1.0,0.9525931082492168,100,0.03332351622832153
Slit3,Robo1,Pathway 1,0,20721,18325,12319,0.0,0.0,0,25,0.6051527824315132
Slit3,Robo1,Pathway 1,0,20721,18325,12319,0.0,0.0,0,50,0.6013698548098733
Slit3,Robo1,Pathway 1,0,20721,18325,12319,0.0,0.0,0,75,0.5924675724365633
Slit3,Robo1,Pathway 1,0,20721,18325,12319,0.0,0.0,0,100,0.5889831256315866
Slit3,Robo2,Pathway 1,3430,27998,11048,8889,0.23691117557673713,0.2784316908840003,0.2559988058364742,25,0.38390777776465
Slit3,Robo2,Pathway 1,2686,27998,11048,9633,0.19557303043541577,0.2180371783423979,0.20619506390818715,50,0.3872721520533339
Slit3,Robo2,Pathway 1,1485,27998,11048,10834,0.11848719380834596,0.12054549882295641,0.11950748430709801,75,0.3792854644363667
Slit3,Robo2,Pathway 1,493,27998,11048,11826,0.04271726886751581,0.04001948210081987,0.041324392288348694,100,0.3747530554878696
Slit3,Robo3,Pathway 1,12319,37897,1149,0,0.9146866646866647,1.0,0.9554426649086749,25,0.014981187402944568
Slit3,Robo3,Pathway 1,12319,37897,1149,0,0.9146866646866647,1.0,0.9554426649086749,50,0.014214168549827029
Slit3,Robo3,Pathway 1,12319,37897,1149,0,0.9146866646866647,1.0,0.9554426649086749,75,0.013537894818216835
Slit3,Robo3,Pathway 1,12319,37897,1149,0,0.9146866646866647,1.0,0.9554426649086749,100,0.013318796007071278
Slit3,Robo4,Pathway 1,12319,37741,1305,0,0.9042131532589548,1.0,0.949697413560498,25,0.04150094409992985
Slit3,Robo4,Pathway 1,12319,37741,1305,0,0.9042131532589548,1.0,0.949697413560498,50,0.04174769178848437
